Ward code,Ward name,stop_count
E05013911,Forest Gate North,13
E05013912,Forest Gate South,18
E05013913,Green Street East,21
E05013914,Green Street West,21
E05013915,Little Ilford,14
E05013916,Manor Park,21
E05013917,Maryland,17
E05013918,Plaistow North,22
E05013919,Plaistow South,24
E05013920,Plaistow West & Canning Town East,25
E05013921,Plashet,21
E05013922,Royal Albert,40
E05013923,Royal Victoria,36
E05013924,Stratford,35
E05013925,Stratford Olympic Park,38
E05013926,Wall End,12
E05013927,West Ham,23
E05013928,Alexandra,17
E05013929,Berrylands,16
E05013930,Canbury Gardens,7
E05013931,Chessington South & Malden Rushett,38
E05013932,Coombe Hill,43
E05013933,Coombe Vale,16
E05013934,Green Lane & St James,10
E05013935,Hook & Chessington North,21
E05013936,King George's & Sunray,20
E05013937,Kingston Gate,14
E05013938,Kingston Town,75
E05013939,Motspur Park & Old Malden East,16
E05013940,New Malden Village,24
E05013941,Norbiton,22
E05013942,Old Malden,16
E05013943,St Mark's & Seething Wells,38
E05013944,Surbiton Hill,24
E05013945,Tolworth,14
E05013946,Tudor,24
E05013967,Beam Park,24
E05013968,Cranham,30
E05013969,Elm Park,37
E05013970,Emerson Park,25
E05013971,Gooshays,63
E05013972,Hacton,15
E05013973,Harold Wood,50
E05013974,Havering-atte-Bower,52
E05013975,Heaton,50
E05013976,Hylands & Harrow Lodge,22
E05013977,Marshalls & Rise Park,31
E05013978,Mawneys,35
E05013979,Rainham & Wennington,42
E05013980,Rush Green & Crowlands,42
E05013981,St Alban's,25
E05013982,St Andrew's,34
E05013983,St Edward's,32
E05013984,South Hornchurch,27
E05013985,Squirrels Heath,43
E05013986,Upminster,54
E05013987,Beckenham Town & Copers Cope,58
E05013988,Bickley & Sundridge,63
E05013989,Biggin Hill,51
E05013990,Bromley Common & Holwood,60
E05013991,Bromley Town,66
E05013992,Chelsfield,57
E05013993,Chislehurst,59
E05013994,Clock House,55
E05013995,Crystal Palace & Anerley,43
E05013996,Darwin,103
E05013997,Farnborough & Crofton,77
E05013998,Hayes & Coney Hall,71
E05013999,Kelsey & Eden Park,63
E05014000,Mottingham,26
E05014001,Orpington,50
E05014002,Penge & Cator,51
E05014003,Petts Wood & Knoll,70
E05014004,Plaistow,25
E05014005,Shortlands & Park Langley,78
E05014006,St Mary Cray,101
E05014007,St Paul's Cray,57
E05014008,West Wickham,33
E05014009,Balham,28
E05014010,Battersea Park,22
E05014011,East Putney,29
E05014012,Falconbrook,23
E05014013,Furzedown,34
E05014014,Lavender,23
E05014015,Nine Elms,14
E05014016,Northcote,17
E05014017,Roehampton,47
E05014018,St Mary's,25
E05014019,Shaftesbury & Queenstown,25
E05014020,South Balham,14
E05014021,Southfields,12
E05014022,Thamesfield,31
E05014023,Tooting Bec,15
E05014024,Tooting Broadway,45
E05014025,Trinity,16
E05014026,Wandle,17
E05014027,Wandsworth Common,32
E05014028,Wandsworth Town,48
E05014029,West Hill,33
E05014030,West Putney,41
E05014053,Abbey,12
E05014054,Alibon,24
E05014055,Barking Riverside,52
E05014056,Beam,16
E05014057,Becontree,15
E05014058,Chadwell Heath,28
E05014059,Eastbrook & Rush Green,18
E05014060,Eastbury,24
E05014061,Gascoigne,15
E05014062,Goresbrook,20
E05014063,Heath,19
E05014064,Longbridge,17
E05014065,Mayesbrook,14
E05014066,Northbury,19
E05014067,Parsloes,29
E05014068,Thames View,22
E05014069,Valence,24
E05014070,Village,22
E05014071,Whalebone,21
E05014072,Abbey Wood,55
E05014073,Blackheath Westcombe,45
E05014074,Charlton Hornfair,20
E05014075,Charlton Village & Riverside,37
E05014076,East Greenwich,26
E05014077,Eltham Page,26
E05014078,Eltham Park & Progress,26
E05014079,Eltham Town & Avery Hill,69
E05014080,Greenwich Creekside,13
E05014081,Greenwich Park,36
E05014082,Greenwich Peninsula,41
E05014083,Kidbrooke Park,27
E05014084,Kidbrooke Village & Sutcliffe,28
E05014085,Middle Park & Horn Park,36
E05014086,"Mottingham, Coldharbour & New Eltham",37
E05014087,Plumstead & Glyndon,31
E05014088,Plumstead Common,36
E05014089,Shooters Hill,27
E05014090,Thamesmead Moorings,25
E05014091,West Thamesmead,42
E05014092,Woolwich Arsenal,35
E05014093,Woolwich Common,38
E05014094,Woolwich Dockyard,19
E05014095,Brixton Acre Lane,20
E05014096,Brixton North,24
E05014097,Brixton Rush Common,17
E05014098,Brixton Windrush,33
E05014099,Clapham Common & Abbeville,14
E05014100,Clapham East,22
E05014101,Clapham Park,18
E05014102,Clapham Town,32
E05014103,Gipsy Hill,17
E05014104,Herne Hill & Loughborough Junction,34
E05014105,Kennington,25
E05014106,Knight's Hill,36
E05014107,Myatt's Fields,14
E05014108,Oval,23
E05014109,St Martin's,28
E05014110,Stockwell East,13
E05014111,Stockwell West & Larkhall,26
E05014112,Streatham Common & Vale,28
E05014113,Streatham Hill East,15
E05014114,Streatham Hill West & Thornton,20
E05014115,Streatham St Leonard's,39
E05014116,Streatham Wells,29
E05014117,Vauxhall,32
E05014118,Waterloo & South Bank,68
E05014119,West Dulwich,25
E09000001,City of London,175
