LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
Bromley 019D,E01000724,1680,129,132,159,102,108,223,343,297,97,56,34
Bromley 019E,E01000728,1627,117,102,85,61,71,233,284,328,164,139,43
Bromley 020A,E01000651,1681,74,89,126,56,67,150,373,322,145,136,143
Bromley 020B,E01000668,2222,175,145,138,72,89,367,561,389,132,86,68
Bromley 020C,E01000669,1734,124,106,118,74,66,241,445,337,114,68,41
Bromley 020D,E01000671,2271,150,148,155,67,99,411,568,358,153,112,50
Bromley 020E,E01000679,1793,144,141,135,81,72,201,468,358,107,69,17
Bromley 021A,E01000826,1634,55,104,170,87,85,102,285,406,183,113,44
Bromley 021B,E01000827,1779,127,120,110,57,56,205,404,300,197,128,75
Bromley 021C,E01000830,1625,89,110,150,84,72,103,303,375,195,108,36
Bromley 021D,E01000831,1701,101,103,111,56,62,183,366,316,214,129,60
Bromley 021E,E01000833,1447,53,78,144,94,101,78,251,389,139,85,35
Bromley 022A,E01000650,1806,71,104,153,83,60,124,358,409,213,173,58
Bromley 022B,E01000652,1711,82,121,117,61,67,166,359,362,196,128,52
Bromley 022C,E01000807,1668,128,118,137,62,76,168,363,319,158,101,38
Bromley 022D,E01000809,1546,84,100,101,54,61,135,336,293,187,135,60
Bromley 023A,E01000722,1848,115,120,130,70,110,285,393,363,142,84,36
Bromley 023B,E01000725,1752,125,111,107,87,97,329,319,323,139,79,36
Bromley 023C,E01000731,1385,107,82,122,75,82,165,285,273,110,55,29
Bromley 023D,E01000732,1512,84,91,118,59,69,152,322,358,130,87,42
Bromley 023E,E01000733,1669,100,115,141,67,90,185,397,313,141,83,37
Bromley 024A,E01000769,1388,41,97,124,58,80,159,266,349,136,57,21
Bromley 024B,E01000773,1583,67,115,159,62,80,109,352,303,144,120,72
Bromley 024C,E01000775,2284,112,133,230,96,97,197,476,542,205,130,66
Bromley 024D,E01000777,1631,78,110,179,70,92,153,334,363,136,81,35
Bromley 024E,E01000778,1628,94,105,125,71,91,193,342,377,134,65,31
Bromley 025A,E01000808,1563,102,102,109,57,63,132,341,316,160,133,48
Bromley 025B,E01000810,1542,100,114,104,49,49,110,348,297,189,131,51
Bromley 025C,E01000811,1365,111,96,97,36,35,152,350,249,113,88,38
Bromley 025D,E01000813,1563,92,113,109,49,51,141,325,313,180,133,57
Bromley 025E,E01000815,1509,77,91,124,56,50,90,304,343,188,151,35
Bromley 026A,E01000661,2816,220,264,236,122,125,452,686,394,146,87,84
Bromley 026B,E01000662,1800,115,131,141,87,99,218,390,388,129,71,31
Bromley 026C,E01000663,1682,106,123,137,89,84,153,370,317,155,89,59
Bromley 026D,E01000664,1662,97,113,150,93,86,183,367,321,137,85,30
Bromley 027A,E01000763,1474,61,95,146,80,72,108,315,308,164,90,35
Bromley 027B,E01000764,1815,106,132,158,71,99,183,405,369,154,100,38
Bromley 027C,E01000766,1815,79,147,173,85,73,107,411,368,193,125,54
Bromley 027D,E01000767,1632,58,92,171,81,81,106,320,380,200,94,49
Bromley 027E,E01000834,1369,93,87,129,70,69,117,277,312,116,76,23
Bromley 028A,E01000727,1691,101,87,107,61,71,225,345,306,182,134,72
Bromley 028B,E01000734,1385,104,98,118,66,73,185,293,250,116,55,27
Bromley 028C,E01000790,2296,118,120,122,60,123,516,519,393,167,106,52
Bromley 028D,E01000812,1631,89,103,113,49,83,201,335,306,172,140,40
Bromley 028E,E01000814,1518,76,99,91,56,46,115,312,342,204,127,50
Bromley 029A,E01000723,1240,51,52,61,46,49,122,177,306,177,146,53
Bromley 029B,E01000726,1306,76,59,69,45,62,184,235,286,134,112,44
Bromley 029C,E01000787,1480,68,70,117,48,44,187,276,314,155,143,58
Bromley 029D,E01000788,1618,95,101,127,73,78,161,341,363,152,95,32
Bromley 029E,E01000791,1510,77,58,101,67,73,145,253,331,186,144,75
Bromley 030A,E01000832,1570,68,114,127,73,68,115,303,343,189,119,51
Bromley 030B,E01000835,1758,100,95,139,96,90,209,344,360,159,100,66
Bromley 030C,E01000836,1389,73,106,126,52,75,112,298,319,124,68,36
Bromley 030D,E01000837,1563,67,97,155,83,63,115,312,362,135,112,62
Bromley 030E,E01000838,1431,78,80,92,63,54,145,242,323,141,114,99
Bromley 030F,E01000839,1390,63,78,83,47,72,121,235,334,212,110,35
Bromley 030G,E01000840,1491,29,47,109,42,58,72,218,332,232,213,139
Bromley 030H,E01000841,1698,77,98,120,74,69,183,343,345,197,128,64
Bromley 031A,E01000753,1939,66,143,177,73,89,161,360,388,200,185,97
Bromley 031B,E01000754,1769,113,108,133,83,69,212,388,335,160,115,53
Bromley 031C,E01000755,1638,83,106,134,81,89,128,331,321,151,140,74
Bromley 031D,E01000757,1571,54,86,132,72,80,79,274,355,231,146,62
Bromley 031E,E01000758,1451,58,111,115,59,66,124,336,281,157,89,55
Bromley 032A,E01000786,1457,68,58,71,48,75,119,244,294,231,154,95
Bromley 032B,E01000789,1876,143,182,243,137,105,239,383,311,76,47,10
Bromley 032C,E01000792,1510,101,119,119,70,55,188,311,277,122,98,50
Bromley 032D,E01000793,1563,77,62,111,66,64,111,294,366,185,158,69
Bromley 032E,E01000795,1383,90,89,125,67,55,95,292,288,134,104,44
Bromley 033A,E01000665,1858,112,96,146,95,86,245,365,402,180,93,38
Bromley 033B,E01000666,1892,74,68,125,84,100,144,304,441,293,171,88
Bromley 033C,E01000667,1658,51,83,138,89,71,140,279,414,205,130,58
Bromley 033D,E01000756,1707,72,108,138,75,93,151,304,370,207,126,63
Bromley 034A,E01000759,1648,70,100,150,81,99,123,315,394,183,91,42
Bromley 034B,E01000760,1633,69,92,147,70,98,141,296,337,172,110,101
Bromley 034C,E01000761,1545,68,79,155,76,83,101,289,368,196,108,22
Bromley 034D,E01000765,1788,73,107,181,72,96,152,384,389,158,115,61
Bromley 034E,E01000768,1501,60,91,133,75,60,112,281,338,186,122,43
Bromley 035A,E01000681,1756,95,130,137,92,72,160,412,373,155,103,27
Bromley 035B,E01000682,1607,73,126,114,71,65,114,346,311,194,135,58
Bromley 035C,E01000683,1704,91,107,159,72,79,238,423,294,123,71,47
Bromley 035D,E01000684,2092,112,188,184,89,81,167,526,375,208,114,48
Bromley 035E,E01000794,1550,81,80,109,63,58,124,296,313,207,162,57
Bromley 036A,E01000749,1653,43,90,133,67,67,115,289,351,221,168,109
Bromley 036B,E01000750,1454,51,85,127,82,77,153,243,306,180,116,34
Bromley 036C,E01000751,2265,142,159,201,92,105,277,494,383,172,153,87
Bromley 036D,E01000752,1746,64,113,123,57,67,153,330,342,209,176,112
Bromley 037A,E01000680,1645,55,73,114,76,80,149,256,421,228,150,43
Bromley 037B,E01000685,1624,111,115,122,83,80,185,389,306,131,61,41
Bromley 037C,E01000686,1495,79,108,111,46,53,122,283,299,192,138,64
Bromley 037D,E01000687,1564,79,93,87,66,62,149,325,305,196,145,57
Bromley 037E,E01000688,1384,64,95,113,59,55,105,297,300,156,94,46
Bromley 039A,E01000654,1299,83,83,103,61,60,157,266,235,154,74,23
Bromley 039B,E01000655,1329,75,79,114,68,68,173,265,256,139,75,17
Bromley 039C,E01000656,1511,75,87,103,71,83,157,277,326,198,102,32
Bromley 039D,E01000657,1572,95,87,103,65,71,204,325,327,167,99,29
Bromley 039E,E01000659,1462,76,100,124,83,91,143,298,331,131,64,21
Bromley 040A,E01000816,1524,92,77,110,55,63,171,331,328,160,103,34
Bromley 040B,E01000818,1685,88,93,111,73,86,165,344,379,197,111,38
Bromley 040C,E01000819,1850,122,110,134,74,100,263,424,336,129,83,75
Bromley 040D,E01032562,1615,109,147,168,83,91,215,335,321,78,43,25
Bromley 040E,E01032563,1449,72,91,97,50,61,134,293,278,188,131,54
Bromley 041A,E01000707,1508,125,128,161,58,47,91,469,281,93,39,16
Bromley 041B,E01000708,1690,110,115,141,64,48,207,432,309,145,78,41
Bromley 041C,E01000771,1665,96,99,150,68,50,138,389,327,200,103,45
Bromley 041D,E01000774,1504,102,97,129,60,64,161,345,305,130,74,37
Bromley 041E,E01032568,1525,85,85,118,63,96,200,336,331,123,54,34
Bromley 042A,E01000658,1331,32,53,77,58,54,103,182,303,204,199,66
Bromley 042B,E01000747,2027,121,126,159,103,93,199,372,471,218,119,46
Bromley 042C,E01000748,1686,54,70,94,58,73,133,235,424,283,209,53
Bromley 042D,E01032570,1736,91,111,120,73,85,169,285,313,227,181,81
Camden 001A,E01000907,1484,91,92,113,76,74,217,334,296,123,49,19
Camden 001B,E01000908,1521,56,61,97,87,81,217,302,385,140,70,25
Camden 001C,E01000909,1548,51,61,128,69,64,223,290,312,182,118,50
Camden 001D,E01000912,1586,81,64,100,70,123,276,312,315,144,75,26
Camden 001E,E01000913,1603,49,67,106,72,65,191,294,351,217,153,38
Camden 002A,E01000893,1380,45,77,80,52,65,187,312,293,138,92,39
Camden 002B,E01000894,1271,64,102,85,33,39,172,310,222,117,96,31
Camden 002C,E01000895,1552,82,67,71,69,79,289,350,278,137,93,37
Camden 002D,E01000896,1436,60,78,110,32,71,224,340,280,100,100,41
Camden 002E,E01000899,1561,94,81,99,55,43,176,369,339,157,110,38
Camden 003A,E01000910,1342,50,73,99,52,75,202,267,274,141,85,24
Camden 003B,E01000911,1438,63,73,112,78,98,202,293,296,122,77,24
Camden 003C,E01000921,1875,96,69,81,57,143,517,462,299,92,44,15
Camden 003D,E01000923,1447,66,58,74,48,99,293,303,289,123,56,38
Camden 003E,E01000928,1713,76,86,115,56,129,356,382,304,128,61,20
Camden 004A,E01000878,1714,108,118,125,63,54,311,430,231,121,118,35
Camden 004B,E01000879,1299,73,77,86,46,60,216,353,219,79,62,28
Camden 004C,E01000880,1412,102,86,97,52,58,213,359,276,82,62,25
Camden 004D,E01000884,1470,97,85,134,71,62,165,339,299,125,74,19
Camden 004E,E01000885,1280,69,58,103,62,55,107,246,282,129,121,48
Camden 005A,E01000871,1657,86,75,153,77,101,272,362,269,145,89,28
Camden 005B,E01000872,1739,105,79,68,50,121,432,451,270,103,45,15
Camden 005C,E01000873,1581,82,74,108,58,115,335,383,257,96,60,13
Camden 005D,E01000874,1482,82,86,98,61,66,264,376,233,103,80,33
Camden 005E,E01000877,1457,61,90,91,43,96,320,395,205,91,53,12
Camden 006A,E01000886,1327,43,69,85,42,58,225,294,297,123,63,28
Camden 006B,E01000887,1388,69,56,59,58,84,355,298,248,96,49,16
Camden 006C,E01000888,1473,68,89,119,64,57,227,342,298,122,62,25
Camden 006D,E01000892,1790,98,93,110,77,134,347,414,276,127,86,28
Camden 006E,E01000903,1411,76,73,73,34,103,274,306,233,139,73,27
Camden 007A,E01000889,1768,85,103,145,102,131,312,355,328,130,56,21
Camden 007B,E01000890,1318,107,80,88,61,72,212,226,279,100,70,23
Camden 007C,E01000891,1486,68,80,119,67,141,306,291,235,78,65,36
Camden 007D,E01000901,1973,128,151,211,127,149,344,434,300,83,34,12
Camden 007E,E01000922,1921,63,91,106,190,222,451,402,258,74,42,22
Camden 007F,E01000927,1538,74,58,78,68,132,324,334,242,132,71,25
Camden 008A,E01000881,1385,94,91,73,44,88,343,339,186,63,42,22
Camden 008B,E01000882,1452,94,90,89,37,68,264,392,218,99,75,26
Camden 008C,E01000883,1508,78,70,61,49,141,351,428,186,64,61,19
Camden 008D,E01000897,1558,122,122,111,50,53,205,426,228,120,89,32
Camden 008E,E01000898,1588,77,66,83,32,78,392,375,276,95,80,34
Camden 009A,E01000866,1954,80,102,130,85,166,379,389,373,136,89,25
Camden 009B,E01000870,1602,76,78,100,56,125,343,316,336,105,55,12
Camden 009C,E01000924,1570,73,62,64,64,117,436,346,236,98,62,12
Camden 009D,E01000925,1496,70,106,146,90,172,217,273,233,100,62,27
Camden 009E,E01000926,1471,71,72,96,69,185,336,312,220,72,29,9
Camden 010A,E01000969,1829,85,64,67,39,156,519,503,212,98,66,20
Camden 010B,E01000970,1406,63,42,35,28,65,521,382,157,61,41,11
Camden 010C,E01000971,1323,81,67,94,44,58,268,326,217,104,50,14
Camden 010D,E01000972,1958,95,70,99,101,173,479,392,337,129,66,17
Camden 010E,E01000973,2561,120,88,130,169,271,785,550,290,104,46,8
Camden 011A,E01000842,1430,83,56,73,30,48,283,366,282,119,65,25
Camden 011B,E01000844,1635,101,103,107,45,70,318,480,242,90,63,16
Camden 011C,E01000848,1486,79,84,75,36,64,294,392,267,103,56,36
Camden 011D,E01000849,1358,71,63,50,24,78,319,365,217,82,58,31
Camden 012A,E01000900,1687,85,73,107,71,163,357,340,291,115,66,19
Camden 012B,E01000902,1416,64,78,124,74,135,254,258,236,94,59,40
Camden 012C,E01000904,2066,89,99,107,107,217,421,416,351,133,87,39
Camden 012D,E01000905,1878,111,91,170,130,195,301,380,280,110,68,42
Camden 012E,E01000906,1447,80,66,48,39,82,377,387,197,91,58,22
Camden 013A,E01000875,1572,75,57,64,44,121,473,376,214,86,49,13
Camden 013B,E01000876,1922,93,98,128,74,158,534,373,273,114,56,21
Camden 013C,E01000931,2059,147,118,119,84,129,440,507,324,112,61,18
Camden 013D,E01000932,1760,82,40,62,57,152,493,440,263,112,46,13
Camden 013E,E01000974,1594,81,53,73,39,136,461,352,256,82,40,21
Camden 014A,E01000843,1194,52,51,51,24,64,275,291,203,98,65,20
Camden 014B,E01000845,1500,83,89,93,39,64,332,371,235,102,58,34
Camden 014C,E01000846,1454,71,79,153,91,103,178,293,279,109,68,30
Camden 014D,E01000847,1599,78,100,128,113,132,236,333,275,109,66,29
Camden 015C,E01000867,1736,61,57,107,75,268,428,351,237,68,62,22
Camden 015D,E01000868,1746,117,129,132,72,164,376,351,282,89,24,10
Camden 015E,E01000869,1945,66,80,104,86,277,439,410,254,140,68,21
Camden 015F,E01035707,2453,85,70,131,87,274,582,483,463,158,95,25
Camden 016A,E01000962,1543,79,58,64,34,102,451,408,213,73,45,16
Camden 016B,E01000964,1731,97,79,101,66,133,338,426,287,118,58,28
Camden 016C,E01000965,1719,96,84,115,50,106,467,413,252,87,32,17
Camden 016D,E01000966,1614,105,89,88,40,78,411,419,214,97,58,15
Camden 016E,E01000968,1469,84,51,46,25,90,470,347,198,81,52,25
Camden 017A,E01000960,1869,112,97,95,70,142,481,465,223,86,67,31
Camden 017B,E01000961,1793,103,102,150,72,150,314,413,302,102,56,29
Camden 017C,E01000963,1920,140,125,106,87,125,341,500,266,97,67,66
Camden 017D,E01000967,1541,104,98,102,62,72,227,347,297,112,82,38
Camden 018A,E01000857,1392,64,70,83,52,83,244,293,290,109,73,31
Camden 018B,E01000858,1932,81,83,118,100,234,428,353,362,104,57,12
Camden 018C,E01000859,1464,77,73,78,50,71,287,312,281,130,85,20
Camden 018D,E01000860,1121,64,41,41,19,41,180,169,231,170,125,40
Camden 018E,E01000862,1686,101,72,100,58,93,338,398,279,119,84,44
Camden 019A,E01000856,1591,60,79,91,95,191,345,318,277,78,48,9
Camden 019B,E01000861,1366,44,32,37,51,191,365,292,217,74,50,13
Camden 019C,E01000957,1318,65,48,48,40,124,347,301,212,88,32,13
Camden 019D,E01000958,2940,127,119,152,456,566,560,498,335,74,36,17
Camden 019E,E01000959,1693,78,86,96,98,305,313,297,246,100,49,25
Camden 020A,E01000929,1914,91,143,185,138,143,299,413,306,108,65,23
Camden 020B,E01000930,2087,123,97,138,87,125,440,435,305,196,102,39
Camden 020C,E01000933,1769,86,78,93,56,143,474,378,261,97,74,29
Camden 020D,E01000934,1514,65,74,114,78,112,252,307,283,142,60,27
Camden 020E,E01000935,1602,99,116,117,92,103,262,359,298,94,47,15
Camden 021A,E01000863,1474,52,40,54,87,221,415,309,206,43,37,10
Camden 021B,E01000946,1552,61,85,103,73,165,324,306,251,99,59,26
Camden 021C,E01000947,1665,55,44,68,68,371,411,302,213,86,36,11
Camden 021D,E01000948,1533,65,64,95,52,165,288,273,299,120,80,32
Camden 022A,E01000952,1688,67,68,143,118,288,306,275,282,87,45,9
Camden 022C,E01000954,1752,123,148,170,132,190,243,339,262,90,38,17
Camden 022D,E01000955,1348,72,83,103,77,172,196,235,239,102,48,21
Camden 022E,E01000956,1505,72,81,120,95,232,300,300,212,65,24,4
Camden 022F,E01035708,1951,90,73,103,192,393,499,319,195,57,19,11
Camden 022G,E01035709,1539,75,90,116,77,183,267,284,232,113,81,21
Camden 023A,E01000944,1462,52,63,113,100,226,252,236,274,73,52,21
Camden 023C,E01000949,1601,93,78,117,88,124,249,372,320,98,42,20
Camden 023E,E01000951,1535,98,106,133,107,175,271,274,234,69,44,24
Camden 023F,E01035710,2574,109,120,160,375,439,408,408,350,125,57,23
Camden 026A,E01000850,1424,24,17,31,179,265,358,243,203,53,33,18
Camden 026B,E01000851,1480,33,22,27,386,252,285,220,168,49,28,10
Camden 026E,E01035711,2432,54,57,49,558,531,381,284,267,125,92,34
Camden 027A,E01000915,1528,72,96,105,98,189,240,326,224,102,55,21
Camden 027B,E01000916,1854,47,58,84,84,276,433,368,324,118,45,17
Camden 027C,E01000917,1653,85,95,112,72,123,305,316,369,114,51,11
Camden 027D,E01000920,1627,50,61,58,58,189,354,322,305,134,65,31
Camden 028A,E01000855,1306,40,26,23,44,231,336,235,196,93,60,22
Camden 028B,E01000914,1419,32,30,50,61,281,311,237,225,106,56,30
Camden 028C,E01000918,1793,50,40,48,174,347,298,277,339,128,70,22
Camden 028D,E01000919,1440,33,40,47,70,247,291,273,279,103,46,11
Camden 029H,E01000853,1405,49,60,59,53,174,239,233,254,133,99,52
Camden 029G,E01000937,1119,24,24,28,221,283,193,142,105,63,25,11
Camden 029A,E01000938,1369,65,55,53,65,232,313,295,193,65,27,6
Camden 029B,E01000939,1447,65,61,91,99,287,269,275,183,70,31,16
Camden 029D,E01000941,1198,67,72,73,50,111,209,234,245,82,38,17
Camden 029C,E01000942,1014,22,22,17,166,163,221,152,138,63,42,8
Camden 029F,E01000943,1585,11,14,21,583,356,183,163,151,58,33,12
Camden 029E,E01035712,2458,78,86,87,392,434,487,344,290,147,84,29
Croydon 001A,E01001137,2131,182,128,103,61,94,414,548,338,129,90,44
Croydon 001B,E01001138,1515,103,102,96,53,39,273,407,280,101,41,20
Croydon 001C,E01001156,1774,114,94,134,63,89,233,455,342,121,75,54
Croydon 001D,E01001162,1810,105,122,140,97,91,291,432,324,128,63,17
Croydon 001E,E01001164,1982,123,88,94,55,84,509,537,286,150,47,9
Croydon 002A,E01001084,1931,96,84,132,90,111,231,406,397,210,122,52
Croydon 002B,E01001157,1851,107,141,159,99,126,205,367,380,142,88,37
Croydon 002C,E01001159,1940,133,128,157,73,87,230,444,385,144,112,47
Croydon 002D,E01001160,1949,104,122,167,102,101,239,398,375,177,112,52
Croydon 002E,E01001163,1975,133,108,135,67,79,270,510,394,140,99,40
Croydon 003A,E01001083,1616,72,83,111,73,79,232,297,317,190,114,48
Croydon 003B,E01001086,1728,97,74,92,75,80,268,339,368,179,110,46
Croydon 003C,E01001087,2827,247,148,187,117,146,584,625,433,164,85,91
Croydon 003D,E01001161,1739,70,96,152,103,131,280,323,361,118,86,19
Croydon 004A,E01001085,1707,96,90,116,61,85,257,414,323,130,96,39
Croydon 004B,E01001088,1681,80,90,144,94,122,251,362,333,111,74,20
Croydon 004C,E01001089,1786,88,121,141,101,122,276,433,286,116,71,31
Croydon 004D,E01001090,2277,143,163,182,93,122,375,521,433,135,77,33
Croydon 004E,E01001091,1575,69,69,116,73,88,214,296,344,174,99,33
Croydon 005A,E01001147,1782,125,149,150,92,106,291,369,386,78,28,8
Croydon 005B,E01001148,1761,104,99,128,127,109,247,355,418,104,49,21
Croydon 005C,E01001151,1751,109,107,126,114,116,251,374,358,105,67,24
Croydon 005D,E01001152,2063,141,145,168,106,129,296,538,374,97,50,19
Croydon 005E,E01001158,1532,98,106,120,63,72,205,413,289,99,55,12
Croydon 006A,E01001146,1530,77,82,130,77,76,214,299,353,142,62,18
Croydon 006B,E01001149,1587,125,101,147,77,69,212,388,317,94,43,14
Croydon 006C,E01001150,1704,105,102,132,80,100,217,402,376,117,52,21
Croydon 006D,E01001153,1633,75,82,112,88,124,234,335,373,114,70,26
Croydon 006E,E01001154,1961,129,106,162,118,138,320,429,382,126,39,12
Croydon 007A,E01001136,2040,157,102,116,52,119,443,507,329,97,71,47
Croydon 007B,E01001139,1699,123,99,120,74,81,253,386,364,109,63,27
Croydon 007C,E01001140,1628,115,76,120,52,69,248,443,349,80,45,31
Croydon 007D,E01001142,1920,93,125,146,105,85,250,456,377,142,95,46
Croydon 007E,E01001144,1754,107,88,107,80,75,380,431,315,90,56,25
Croydon 008A,E01001141,1274,67,107,77,45,72,235,306,251,76,27,11
Croydon 008B,E01001143,1933,149,108,151,79,112,291,439,367,135,74,28
Croydon 008C,E01001145,1827,131,149,166,80,84,296,451,300,92,56,22
Croydon 008D,E01001191,2074,152,132,194,71,121,361,519,371,85,45,23
Croydon 008E,E01001192,1585,103,97,126,79,79,237,365,357,83,48,11
Croydon 009A,E01000994,1591,79,115,124,84,91,245,325,318,108,77,25
Croydon 009B,E01000995,1714,110,118,164,88,93,261,377,312,92,68,31
Croydon 009C,E01000996,1330,70,58,99,69,80,220,238,315,126,35,20
Croydon 009D,E01000997,1504,63,73,140,109,109,183,280,328,124,72,23
Croydon 009E,E01000999,1324,57,82,114,67,75,184,251,275,133,69,17
Croydon 009F,E01001002,1473,89,94,135,100,90,204,291,326,81,41,22
Croydon 010A,E01000998,1493,114,83,109,52,84,227,330,327,103,51,13
Croydon 010B,E01001000,1338,75,92,100,76,77,186,295,291,76,50,20
Croydon 010C,E01001003,1589,102,113,155,72,85,253,338,303,100,48,20
Croydon 010D,E01001111,1746,119,70,166,99,104,268,402,361,93,46,18
Croydon 010E,E01001155,1794,131,134,106,90,108,231,404,308,147,89,46
Croydon 011A,E01001174,1688,97,114,157,110,111,222,323,317,135,85,17
Croydon 011B,E01001175,1639,109,117,140,78,111,268,364,300,79,51,22
Croydon 011C,E01001176,1847,130,135,149,86,132,287,388,345,114,65,16
Croydon 011D,E01001182,1357,72,70,88,61,107,223,247,283,106,66,34
Croydon 011E,E01001183,1820,147,141,153,72,101,286,397,313,122,57,31
Croydon 011F,E01001184,1301,71,58,93,48,77,190,211,330,120,76,27
Croydon 013A,E01001001,1406,98,87,123,63,91,250,294,267,81,33,19
Croydon 013B,E01001109,2350,182,178,188,93,169,396,470,371,137,111,55
Croydon 013C,E01001112,2017,159,135,170,75,89,320,515,326,128,60,40
Croydon 013D,E01001113,2006,193,113,119,71,121,344,542,348,89,51,15
Croydon 013E,E01001114,1508,105,110,164,103,76,211,396,242,71,24,6
Croydon 013F,E01001116,1525,99,119,131,67,84,266,321,307,85,33,13
Croydon 014A,E01000992,1875,97,110,156,108,166,248,361,435,112,67,15
Croydon 014B,E01001185,1702,111,119,113,47,79,287,424,344,106,58,14
Croydon 014C,E01001186,1686,95,103,107,65,80,261,397,376,118,61,23
Croydon 014D,E01001188,1960,168,126,138,120,115,346,426,375,92,43,11
Croydon 014E,E01001193,1682,58,77,111,140,180,289,267,437,79,34,10
Croydon 015A,E01001004,2179,155,151,190,121,124,369,501,397,106,46,19
Croydon 015B,E01001115,1818,137,157,160,117,119,260,386,278,114,66,24
Croydon 015D,E01001178,1628,159,122,135,86,103,306,379,262,42,19,15
Croydon 015E,E01001181,2190,236,201,231,81,136,317,531,315,76,45,21
Croydon 015F,E01034139,1803,118,138,152,82,102,287,469,311,93,41,10
Croydon 015G,E01034140,1243,115,97,84,40,74,260,326,202,28,12,5
Croydon 016A,E01001006,1789,124,168,160,104,97,339,407,278,71,32,9
Croydon 016B,E01001007,1982,76,136,213,138,146,248,386,425,122,66,26
Croydon 016C,E01001177,1648,72,97,152,98,133,280,342,338,85,38,13
Croydon 016D,E01001179,1663,125,122,139,79,107,226,360,306,107,64,28
Croydon 016E,E01001180,1981,135,165,179,110,150,257,435,390,93,49,18
Croydon 017A,E01000980,1492,92,104,132,85,86,213,328,305,88,47,12
Croydon 017B,E01000981,1730,118,131,118,67,100,274,417,330,101,51,23
Croydon 017C,E01000982,1684,143,123,116,55,81,275,454,287,94,44,12
Croydon 017D,E01000983,1820,92,87,117,79,100,299,418,403,137,65,23
Croydon 017E,E01001187,1985,120,135,145,133,101,313,426,419,118,53,22
Croydon 018A,E01000989,1734,80,100,138,89,93,204,350,390,163,91,36
Croydon 018B,E01000991,1737,66,70,103,67,90,188,279,407,232,170,65
Croydon 018C,E01001131,1571,111,98,153,66,71,216,328,268,128,100,32
Croydon 018D,E01001132,1619,73,71,124,53,76,179,258,361,201,156,67
Croydon 018E,E01001134,1612,89,78,93,78,82,209,303,355,181,110,34
Croydon 019A,E01001005,1736,116,120,152,104,133,261,405,302,82,37,24
Croydon 019B,E01001008,1666,96,141,170,102,86,208,356,329,109,52,17
Croydon 019C,E01001009,2054,165,157,196,95,126,357,454,351,89,43,21
Croydon 019D,E01001010,1699,87,119,166,102,150,243,352,308,114,48,10
Croydon 019E,E01001011,2311,215,174,183,152,194,385,511,361,84,46,6
Croydon 020A,E01001012,2099,172,142,163,91,134,375,506,360,81,53,22
Croydon 020B,E01001013,2197,220,170,174,99,133,330,517,348,120,63,23
Croydon 020D,E01001110,2149,182,195,144,120,108,372,540,353,84,42,9
Croydon 020E,E01001118,2153,157,151,185,103,135,324,447,435,127,69,20
Croydon 020F,E01034141,1421,144,118,73,31,73,385,383,159,44,5,6
Croydon 020G,E01034142,1477,145,95,85,35,76,316,433,196,53,35,8
Croydon 020H,E01034143,1304,102,61,32,24,149,503,306,115,4,7,1
Croydon 021A,E01000985,1452,67,75,102,73,77,152,251,342,174,98,41
Croydon 021B,E01000986,1771,118,87,112,64,100,231,328,386,201,95,49
Croydon 021C,E01000987,1355,73,59,88,43,69,161,269,339,150,77,27
Croydon 021D,E01000993,1647,130,114,121,78,68,215,370,320,135,80,16
Croydon 022A,E01000975,2344,163,139,121,72,113,670,553,328,106,59,20
Croydon 022B,E01000976,2145,177,139,126,96,134,474,520,286,109,65,19
Croydon 022C,E01000977,1940,152,91,87,62,121,368,435,336,163,99,26
Croydon 022D,E01000978,1731,139,81,75,53,84,398,414,274,115,60,38
Croydon 022E,E01000979,1758,118,92,95,44,84,358,502,282,91,72,20
Croydon 022F,E01000984,1905,171,124,115,55,126,334,381,357,122,73,47
Croydon 023A,E01001044,2079,126,135,151,85,85,283,546,302,161,124,81
Croydon 023B,E01001046,1926,157,141,149,46,65,359,560,233,98,81,37
Croydon 023C,E01001049,1440,80,74,82,52,62,151,293,305,163,121,57
Croydon 023D,E01001050,1715,97,106,114,61,75,267,422,233,150,135,55
Croydon 024B,E01001042,2172,174,129,143,90,135,515,550,329,70,27,10
Croydon 024C,E01001165,1844,115,110,143,78,100,333,454,371,75,46,19
Croydon 024D,E01001166,1969,135,167,152,91,87,341,430,337,131,81,17
Croydon 024E,E01001168,1818,93,110,134,71,129,274,448,362,105,71,21
Croydon 024F,E01034144,1349,145,72,78,45,60,329,349,205,40,19,7
Croydon 024G,E01034145,1330,125,102,85,66,90,279,299,195,52,34,3
Croydon 024H,E01034146,1440,153,109,139,50,72,325,447,115,21,8,1
Croydon 025A,E01001127,1626,79,74,106,80,89,155,262,409,232,101,39
Croydon 025B,E01001128,1602,90,147,180,117,113,190,314,290,96,48,17
Croydon 025C,E01001130,1766,134,173,284,143,125,194,376,245,59,18,15
Croydon 025D,E01001135,1679,66,93,120,72,86,183,285,378,199,140,57
Croydon 026A,E01001062,1513,52,65,92,73,73,145,237,310,206,162,98
Croydon 026B,E01001063,1535,80,88,107,49,77,167,292,355,174,113,33
Croydon 026C,E01001064,1599,67,70,106,66,87,180,266,358,203,143,53
