LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000143,Barnet 041D,10,105,115,470,c
E01000144,Barnet 038C,35,160,20,565,c
E01000145,Barnet 037A,45,280,35,180,c
E01000146,Barnet 038D,40,165,c,730,c
E01000147,Barnet 043F,50,465,c,65,c
E01000150,Barnet 036A,30,240,185,340,c
E01000151,Barnet 026B,15,20,125,525,c
E01000152,Barnet 026C,c,85,165,685,c
E01000153,Barnet 026D,30,100,175,475,c
E01000154,Barnet 026E,20,55,160,490,c
E01000156,Barnet 022A,25,190,135,420,c
E01000157,Barnet 022B,15,95,120,460,c
E01000158,Barnet 015A,20,125,135,295,c
E01000159,Barnet 015B,70,355,25,215,c
E01000160,Barnet 015C,35,100,190,525,c
E01000161,Barnet 015D,35,65,180,570,c
E01000162,Barnet 015E,20,265,105,180,c
E01000163,Barnet 022C,15,40,100,665,c
E01000164,Barnet 022D,20,175,100,370,c
E01000165,Barnet 022E,75,160,275,215,c
E01000166,Barnet 003A,70,325,60,215,c
E01000167,Barnet 002A,20,265,45,195,c
E01000168,Barnet 003B,145,420,c,c,c
E01000169,Barnet 003C,145,160,105,310,c
E01000170,Barnet 006A,135,240,95,245,c
E01000171,Barnet 006B,20,110,145,745,c
E01000172,Barnet 003D,55,290,160,110,c
E01000173,Barnet 006C,15,115,360,135,c
E01000174,Barnet 006D,15,225,80,455,c
E01000175,Barnet 006E,65,340,110,140,c
E01000176,Barnet 027A,20,85,255,385,c
E01000177,Barnet 029A,15,100,275,325,c
E01000178,Barnet 027B,25,185,140,365,c
E01000179,Barnet 029B,15,55,210,530,c
E01000180,Barnet 029C,10,130,80,465,c
E01000181,Barnet 029D,20,130,220,350,c
E01000182,Barnet 029E,c,40,295,425,c
E01000183,Barnet 033A,50,185,65,335,c
E01000184,Barnet 027C,15,70,155,475,c
E01000185,Barnet 029F,c,15,40,600,c
E01000186,Barnet 014A,225,280,c,15,c
E01000187,Barnet 014B,115,310,45,130,c
E01000188,Barnet 014C,265,200,c,50,c
E01000189,Barnet 014D,35,45,140,795,c
E01000190,Barnet 014E,130,310,45,100,c
E01000191,Barnet 014F,170,220,10,180,c
E01000192,Barnet 018A,160,185,c,405,c
E01000193,Barnet 018B,95,275,20,360,c
E01000194,Barnet 018C,30,285,60,375,c
E01000195,Barnet 013A,25,165,190,345,c
E01000196,Barnet 028A,20,45,35,1085,c
E01000197,Barnet 023A,30,220,120,385,c
E01000198,Barnet 025A,90,330,30,365,c
E01000199,Barnet 025B,110,195,15,395,c
E01000200,Barnet 028B,85,150,95,615,c
E01000201,Barnet 028C,290,105,c,155,c
E01000202,Barnet 028D,115,255,c,285,c
E01000203,Barnet 028E,90,115,30,500,c
E01000204,Barnet 025C,70,240,25,405,c
E01000205,Barnet 035A,90,335,165,40,c
E01000206,Barnet 033B,345,65,20,175,c
E01000207,Barnet 033C,145,230,25,285,c
E01000208,Barnet 033D,120,225,c,315,c
E01000209,Barnet 035B,60,245,330,145,c
E01000210,Barnet 033E,65,275,30,235,c
E01000211,Barnet 035C,c,90,65,840,c
E01000212,Barnet 035D,100,170,115,205,c
E01000213,Barnet 033F,230,160,c,70,c
E01000214,Barnet 038E,35,170,60,565,c
E01000215,Barnet 037B,90,195,20,455,c
E01000216,Barnet 035E,110,240,35,375,c
E01000217,Barnet 035F,130,235,30,180,c
E01000218,Barnet 037C,70,210,15,350,c
E01000219,Barnet 037D,35,170,140,350,c
E01000220,Barnet 037E,20,195,100,420,c
E01000221,Barnet 039B,35,75,80,350,c
E01000222,Barnet 040C,35,440,50,235,c
E01000223,Barnet 039C,35,145,205,380,c
E01000224,Barnet 040D,25,420,c,130,c
E01000225,Barnet 037F,160,205,c,215,c
E01000226,Barnet 018D,35,165,320,105,c
E01000227,Barnet 018E,25,540,c,45,c
E01000228,Barnet 007A,95,280,50,50,c
E01000229,Barnet 013B,25,285,90,190,c
E01000230,Barnet 013C,140,345,c,200,c
E01000231,Barnet 013D,30,340,c,265,c
E01000232,Barnet 013E,120,335,85,200,c
E01000233,Barnet 013F,25,465,20,165,c
E01000234,Barnet 021D,145,220,75,285,c
