Ward code,Ward name,Total population,Under 15 years,15 to 64 years,65 years and older,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure,Total: All dwellings,Total: Occupied dwellings,Unoccupied dwellings,Total: All households,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Single family household,Other household types
E05000528,South Richmond,11074,1982,7220,1872,420.0,730.0,1130.0,3305.0,0.0,5580,5030,560.0,5040.0,1822.0,709.0,1113.0,2936.0,282.0
E05000529,South Twickenham,10620,2031,7049,1540,265.0,1030.0,1490.0,1525.0,35.0,4360,4165,195.0,4166.0,1208.0,501.0,707.0,2711.0,247.0
E05000530,Teddington,10564,1890,6761,1913,360.0,1020.0,1285.0,2510.0,0.0,5170,4725,450.0,4711.0,1598.0,660.0,938.0,2885.0,228.0
E05000531,Twickenham Riverside,10994,2045,7225,1724,220.0,755.0,1005.0,3205.0,45.0,5250,4855,400.0,4852.0,1678.0,584.0,1094.0,2884.0,290.0
E05000532,West Twickenham,11307,2613,7220,1474,155.0,1360.0,1740.0,1180.0,0.0,4455,4325,130.0,4322.0,1012.0,451.0,561.0,3007.0,303.0
E05000533,Whitton,9761,1870,6138,1753,325.0,1830.0,920.0,855.0,0.0,3935,3790,145.0,3790.0,978.0,521.0,457.0,2479.0,333.0
E05000555,Beddington North,10840,2180,6972,1688,300.0,1795.0,1405.0,660.0,0.0,4175,4090,75.0,4098.0,941.0,430.0,511.0,2841.0,316.0
E05000556,Beddington South,11426,2389,7160,1877,1060.0,1050.0,830.0,1400.0,0.0,4365,4265,85.0,4266.0,1082.0,438.0,644.0,2792.0,392.0
E05000557,Belmont,10830,2218,6687,1925,1000.0,845.0,630.0,2090.0,0.0,4570,4400,165.0,4402.0,1301.0,529.0,772.0,2823.0,278.0
E05000558,Carshalton Central,10804,2233,6866,1705,555.0,1745.0,720.0,1485.0,0.0,4495,4355,130.0,4365.0,1181.0,533.0,648.0,2935.0,249.0
E05000559,Carshalton South and Clockhouse,10369,2183,6311,1875,940.0,1675.0,460.0,745.0,0.0,3815,3740,60.0,3734.0,664.0,354.0,310.0,2838.0,232.0
E05000560,Cheam,10807,1991,6440,2376,1555.0,905.0,730.0,1000.0,0.0,4190,4085,110.0,4089.0,969.0,558.0,411.0,2799.0,321.0
E05000561,Nonsuch,10752,2139,6543,2070,370.0,1855.0,1100.0,830.0,0.0,4165,4040,115.0,4044.0,937.0,574.0,363.0,2806.0,301.0
E05000562,St. Helier,12644,2839,8467,1338,165.0,840.0,2715.0,975.0,0.0,4690,4565,110.0,4571.0,1075.0,425.0,650.0,3047.0,449.0
E05000563,Stonecot,11329,2256,7158,1915,125.0,2030.0,1395.0,575.0,0.0,4130,4005,115.0,4003.0,764.0,439.0,325.0,2894.0,345.0
E05000564,Sutton Central,14600,3230,9943,1427,145.0,780.0,1235.0,4465.0,0.0,6645,6265,385.0,6268.0,2058.0,617.0,1441.0,3730.0,480.0
E05000565,Sutton North,11292,2423,7009,1860,295.0,1570.0,1185.0,1320.0,0.0,4380,4245,130.0,4247.0,1024.0,556.0,468.0,2871.0,352.0
E05000566,Sutton South,11041,2172,7106,1763,385.0,360.0,350.0,4175.0,0.0,5295,5005,290.0,5031.0,1953.0,763.0,1190.0,2783.0,295.0
E05000567,Sutton West,11425,2289,7447,1689,425.0,1175.0,740.0,2545.0,0.0,4900,4715,160.0,4757.0,1446.0,549.0,897.0,2972.0,339.0
