ATCOCode,CommonName,NptgLocalityCode,LocalityName,Longitude,Latitude,Status
490002250Z,Erith Cemetery,E0034020,Lessness Heath,0.15448,51.47885,active
490002250Y,Erith Cemetery,E0034020,Lessness Heath,0.15414,51.47866,active
490010797W,Rossmore Road / London Business School,E0034935,Lisson Grove,-0.16246,51.5254,active
490002253Z,Elton Avenue,E0033951,Chipping Barnet,-0.19577,51.64693,active
490002254Z,Vale Avenue,E0033951,Chipping Barnet,-0.19311,51.64781,active
490002255Z,Mays Lane / Brent Place,E0033951,Chipping Barnet,-0.19529,51.64697,active
490002256Z,Greenway / Totteridge,E0033992,Whetstone,-0.18307,51.62916,active
490002256Y,Greenway / Totteridge,E0033992,Whetstone,-0.18306,51.62862,active
490002257Z,Laurel Way,E0033992,Whetstone,-0.187,51.62355,active
490002257Y,Laurel Way,E0033992,Whetstone,-0.18644,51.62458,active
490002258Z,Chiddingfold,N0060487,Woodside Park,-0.18844,51.62261,active
490002258Y,Chiddingfold,N0060487,Woodside Park,-0.18825,51.62285,active
490002259Z,Northiam,N0060487,Woodside Park,-0.18977,51.62205,active
490002259Y,Northiam,N0060487,Woodside Park,-0.18986,51.62218,active
490002260Z,Tillingham Way,N0060487,Woodside Park,-0.19049,51.62014,active
490002260Y,Tillingham Way,N0060487,Woodside Park,-0.19068,51.62041,active
490002261Z,Southover,N0060487,Woodside Park,-0.19043,51.61815,active
490002261Y,Southover,N0060487,Woodside Park,-0.19091,51.61879,active
490001079B,Chauntler Close / Cundy Park,N0075225,Custom House,0.02825,51.51001,active
490001079A,Chauntler Close / Cundy Park,N0075225,Custom House,0.0295,51.50994,active
490003027SW,Priory Terrace,E0034184,South Hampstead,-0.18902,51.53911,active
490008706E,Rochester Way / Kidbrooke Way,E0034330,Kidbrooke,0.03161,51.4655,active
490015270B,Chrisp Street Market / All Saints DLR,N0077626,All Saints,-0.0149,51.5112,active
490004986P,Ilford / Chapel Road,E0034730,Ilford,0.07024,51.55769,active
490002269ZZ,Church Road / Willesden,E0034041,Church End,-0.25058,51.54713,active
490002270ZZ,High Road / Church End,E0034041,Church End,-0.24991,51.54841,active
490002273ZZ,Gayton Road / Abbey Wood Station,E0034321,Abbey Wood,0.12234,51.49089,active
490002275YY,Mulberry Way / Belvedere,E0033998,Belvedere,0.16669,51.49637,active
490002275ZZ,Mulberry Way / Belvedere,E0033998,Belvedere,0.16605,51.49642,active
490002276YY,Church Manorway / War Memorial,E0033998,Belvedere,0.16743,51.49398,active
490002276ZZ,Church Manorway / War Memorial,E0033998,Belvedere,0.16719,51.49383,active
490002277YY,Church Manorway / Viking Way,E0033998,Belvedere,0.16873,51.49097,active
490002277ZZ,Church Manorway / Viking Way,E0033998,Belvedere,0.16867,51.49126,active
490002278YY,Erith Quarry / Fraser Road,E0034018,Hillside,0.16621,51.48316,active
490002279ZZ,Valley Walk,E0034234,Shirley,-0.05745,51.37509,active
490002280ZZ,Westcroft Square,N0060449,Hammersmith,-0.24335,51.49354,active
490002281ZZ,Netherlands Road,E0033981,Oakleigh Park,-0.17134,51.64172,active
490002281YY,Netherlands Road,E0033981,Oakleigh Park,-0.17174,51.64204,active
490002282YY,Northumberland Road,E0033981,Oakleigh Park,-0.17039,51.64018,active
490002282ZZ,Northumberland Road,E0033981,Oakleigh Park,-0.16982,51.64016,active
490002283YY,Maryrose Way,E0033981,Oakleigh Park,-0.16746,51.63493,active
490002283ZZ,Maryrose Way,E0033981,Oakleigh Park,-0.16719,51.63459,active
490013358E,Athenaeum Road / The Firs,E0033981,Oakleigh Park,-0.16858,51.63261,active
490002284ZZ,Athenaeum Road / The Firs,E0033981,Oakleigh Park,-0.16841,51.63267,active
490002284YY,Athenaeum Road / The Firs,E0033981,Oakleigh Park,-0.17208,51.63215,active
490002285ZZ,Oakleigh Park North / Athenaeum Road,E0033981,Oakleigh Park,-0.16804,51.63265,active
490002285YY,Oakleigh Park North / Athenaeum Road,E0033981,Oakleigh Park,-0.16823,51.63267,active
490007020E,Torrington Park / Friary Way,N0060479,North Finchley,-0.16401,51.61735,active
490002286ZZ,Torrington Park / Friary Way,N0060479,North Finchley,-0.16382,51.61734,active
490002286YY,Torrington Park / Friary Way,N0060479,North Finchley,-0.1655,51.61732,active
490002287ZZ,Copwood Close,N0060479,North Finchley,-0.16758,51.61725,active
490002287YY,Copwood Close,N0060479,North Finchley,-0.16831,51.61708,active
490002288ZZ,Torrington Park Surgery,N0060479,North Finchley,-0.1761,51.61688,active
490002288YY,Torrington Park Surgery,N0060479,North Finchley,-0.17604,51.61672,active
490002289ZZ,High Road North Finchley,N0060479,North Finchley,-0.17695,51.6174,active
490002289YY,High Road North Finchley,N0060479,North Finchley,-0.17717,51.61726,active
490002290ZZ,Welbeck Close / North Finchley,N0060479,North Finchley,-0.17213,51.61697,active
490002291ZZ,Gainsborough Road / North Finchley,N0060479,North Finchley,-0.1819,51.61751,active
490002292ZZ,Woodside Avenue / North Finchley,N0060479,North Finchley,-0.18138,51.61761,active
490002293ZZ,Glenhurst Road,N0060479,North Finchley,-0.17036,51.61738,active
490002294ZZ,Beechvale Close,N0060479,North Finchley,-0.15962,51.61694,active
490002295ZZ,Oxford Gardens / Whetstone,E0033992,Whetstone,-0.17247,51.63224,active
490014539W,Westwood Road,E0034726,Goodmayes,0.10549,51.56565,active
490002297Z,Northampton Road / Peel Centre,N0065138,Clerkenwell,-0.10679,51.52503,active
490002298ZZ,Royal Crest Avenue,N0060463,Silvertown,0.02757,51.49977,active
490002299ZZ,Berkeley Avenue / Greenford Quay,E0034263,Greenford,-0.34135,51.54904,active
490002299YY,Berkeley Avenue / Greenford Quay,E0034263,Greenford,-0.34188,51.54922,active
490000293Z,Aldwych / Australia House,N0077724,Temple,-0.11543,51.51306,active
490019635E,Sutton Hospital,E0034813,Belmont,-0.19399,51.34774,active
490008915S2,Millbank Tower,N0065177,Millbank,-0.12517,51.49229,active
490013038S,South Terrace / Surbiton Library,E0034623,Surbiton,-0.2985,51.39264,active
490004043N2,Camomile Street,E0034192,Bishopsgate,-0.08222,51.51586,active
490004043S,Camomile Street,E0034192,Bishopsgate,-0.082,51.51573,active
490001101H,Enfield Town / Silver Street,N0075228,Enfield Town,-0.08053,51.65289,active
490002307WD,Westmacott Drive / Stone Crescent,E0034535,Feltham,-0.42408,51.4507,active
490002308WD,Westmacott Drive / Allcot Close,E0034535,Feltham,-0.42428,51.44928,active
490002309WD,Westmacott Drive / Jubilee Way,E0034535,Feltham,-0.41978,51.44716,active
490002311NX,Wembley Stadium Pink Coach Parking South Way,N0075255,Tokyngton,-0.2706,51.5557,active
490002312ZZ,Monier Bridge,E0034349,Hackney Wick,-0.02027,51.54096,active
490002312YY,Monier Bridge,E0034349,Hackney Wick,-0.01974,51.54124,active
490007476E,Palmers Green / Palmerston Road,N0065115,Palmers Green,-0.11132,51.61264,active
490007476W,Palmers Green / Palmerston Road,N0065115,Palmers Green,-0.11096,51.6123,active
490002314ZZ,Brent Cross West Station / Arbour Street,N0060109,Cricklewood,-0.22622,51.57033,active
490002314YY,Brent Cross West Station / Arbour Street,N0060109,Cricklewood,-0.22649,51.5701,active
490003567R,Pier Road,E0034711,North Woolwich,0.06226,51.50004,active
490001306A,Wallington Station / Manor Road,E0034828,Wallington,-0.15038,51.36139,active
490002318WG,Wembley Stadium Green Coach Parking First Way,N0075255,Tokyngton,-0.27632,51.55635,active
490010158S,William Road,N0077660,Euston,-0.13852,51.52707,active
490015488J,Athenaeum Road,E0033981,Oakleigh Park,-0.17537,51.63124,active
490014914S,Woodview Close / Dorich House Museum,N0075235,Kingston Vale,-0.26305,51.43258,active
490005858NY,Croydon / St George's Walk,N0060493,Croydon,-0.09864,51.37297,active
490005858NX,Croydon / St George's Walk,N0060493,Croydon,-0.09864,51.37262,active
490005528Q,Pembroke Place,E0034593,Kensington,-0.19804,51.49796,active
490007671W,Laundry Cottages,N0075257,Wennington,0.21272,51.50704,active
